UTC Timestamp,EEG Signal A3 (uV),EEG Signal A4 (uV)
2025-01-20 10:05:29.651187,485,1
2025-01-20 10:05:29.661187,412,0
2025-01-20 10:05:29.671187,495,1
2025-01-20 10:05:29.681187,390,0
2025-01-20 10:05:29.691187,631,2
2025-01-20 10:05:29.701187,599,1
2025-01-20 10:05:29.711187,650,2
2025-01-20 10:05:29.721187,551,1
2025-01-20 10:05:29.731187,483,1
2025-01-20 10:05:29.741187,441,1
2025-01-20 10:05:29.751187,527,1
2025-01-20 10:05:29.761187,456,1
2025-01-20 10:05:29.771187,508,1
2025-01-20 10:05:29.781187,403,0
2025-01-20 10:05:29.791187,599,1
2025-01-20 10:05:29.801187,529,1
2025-01-20 10:05:29.811187,670,2
2025-01-20 10:05:29.821187,506,1
2025-01-20 10:05:29.831187,764,3
2025-01-20 10:05:29.841187,945,5
2025-01-20 10:05:29.851187,1018,5
2025-01-20 10:05:29.861187,1018,6
2025-01-20 10:05:29.871187,1018,5
2025-01-20 10:05:29.881187,1018,5
2025-01-20 10:05:29.891187,1018,5
2025-01-20 10:05:29.901187,1018,5
2025-01-20 10:05:29.911187,1018,5
2025-01-20 10:05:29.921187,992,5
2025-01-20 10:05:29.931187,1018,6
2025-01-20 10:05:29.941187,863,4
2025-01-20 10:05:29.951187,845,3
2025-01-20 10:05:29.961187,755,3
2025-01-20 10:05:29.971187,769,3
2025-01-20 10:05:29.981187,620,2
2025-01-20 10:05:29.991187,682,2
2025-01-20 10:05:30.001187,548,1
2025-01-20 10:05:30.011187,594,1
2025-01-20 10:05:30.021187,432,1
2025-01-20 10:05:30.031187,450,1
2025-01-20 10:05:30.041187,322,0
2025-01-20 10:05:30.051187,423,0
2025-01-20 10:05:30.061187,376,0
2025-01-20 10:05:30.071187,448,1
2025-01-20 10:05:30.081187,334,0
2025-01-20 10:05:30.091187,324,0
2025-01-20 10:05:30.101187,111,0
2025-01-20 10:05:30.111187,245,0
2025-01-20 10:05:30.121187,222,0
2025-01-20 10:05:30.131187,321,0
2025-01-20 10:05:30.141187,215,0
2025-01-20 10:05:30.151187,335,0
2025-01-20 10:05:30.161187,141,0
2025-01-20 10:05:30.171187,319,0
2025-01-20 10:05:30.181187,332,0
2025-01-20 10:05:30.191187,510,1
2025-01-20 10:05:30.201187,339,0
